City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
206,Codrington,AU,-38.2667,141.9667,65.88,55,75,14.65,broken clouds
207,Isangel,VU,-19.55,169.2667,81.41,64,47,9.15,scattered clouds
208,Ostersund,SE,63.1792,14.6357,19.85,100,100,2.3,overcast clouds
209,Saldanha,ZA,-33.0117,17.9442,62.65,96,2,6.08,clear sky
210,Carnarvon,AU,-24.8667,113.6333,81.66,71,4,11.74,clear sky
211,Kayerkan,RU,69.3497,87.7602,-29.09,81,2,5.46,clear sky
212,Black River,JM,18.0264,-77.8487,71.71,82,44,4.29,scattered clouds
213,Srednekolymsk,RU,67.45,153.6833,-29.13,98,100,4.07,overcast clouds
214,Roma,US,43.2128,-75.4557,40.08,95,100,11.5,overcast clouds
215,Muzhi,RU,65.3667,64.6667,6.53,97,100,3.76,overcast clouds
216,Hermanus,ZA,-34.4187,19.2345,63.81,85,0,4.16,clear sky
217,Provideniya,RU,64.3833,-173.3,-14.69,70,0,4.47,clear sky
218,Bambous Virieux,MU,-20.3428,57.7575,77.22,100,75,3.44,thunderstorm with rain
219,Souillac,MU,-20.5167,57.5167,75.58,100,75,3.44,thunderstorm with rain
220,Upernavik,GL,72.7868,-56.1549,-14.31,92,100,11.63,overcast clouds
221,Saint-Francois,FR,46.4154,3.9054,31.44,93,100,5.75,light snow
222,Mount Isa,AU,-20.7333,139.5,94.77,28,57,6.91,broken clouds
223,Galdar,ES,28.147,-15.6502,63.1,72,90,20.51,overcast clouds
224,Mouila,GA,-1.8685,11.0559,72.07,98,100,0.65,overcast clouds
225,Mitchell,US,43.7094,-98.0298,19.38,86,100,10.36,overcast clouds
226,Cap Malheureux,MU,-19.9842,57.6142,77.47,87,100,14.36,heavy intensity rain
227,Portland,US,45.5234,-122.6762,40.84,92,20,3.44,few clouds
228,Sabha,LY,27.0377,14.4283,44.02,39,0,8.16,clear sky
229,Grand Gaube,MU,-20.0064,57.6608,77.38,87,100,13.91,heavy intensity rain
230,Usinsk,RU,65.9939,57.5281,20.84,91,100,24.16,overcast clouds
231,Komsomolskiy,UZ,40.4272,71.7189,14.72,85,4,2.3,mist
232,The Valley,AI,18.217,-63.0578,77.09,71,0,14.63,clear sky
233,Xai-Xai,MZ,-25.0519,33.6442,74.05,94,71,0.76,broken clouds
234,Sheridan,US,44.8333,-106.9173,30.58,70,100,6.91,overcast clouds
235,Bengkulu,ID,-3.8004,102.2655,79.0,85,93,3.67,overcast clouds
236,Waingapu,ID,-9.6567,120.2641,79.83,83,100,4.16,overcast clouds
237,Kaitangata,NZ,-46.2817,169.8464,67.19,52,99,10.69,overcast clouds
238,San Patricio,US,28.017,-97.5169,66.83,46,38,8.7,scattered clouds
239,Acapulco,MX,16.8634,-99.8901,76.82,73,0,2.3,clear sky
240,Douglas,US,41.3,-96.167,28.22,80,100,9.22,overcast clouds
241,Ano Mera,GR,37.45,25.4,61.52,73,12,24.02,few clouds
242,Nata,PA,8.3333,-80.5167,73.27,81,78,6.44,broken clouds
243,Shimanovsk,RU,52.0,127.7,-26.12,70,18,8.95,few clouds
244,Troitsko-Pechorsk,RU,62.7084,56.1964,18.12,93,100,10.45,overcast clouds
245,Goedereede,NL,51.8175,3.9806,35.98,91,86,20.67,overcast clouds
246,Kushima,JP,31.4583,131.2333,56.08,51,5,11.95,clear sky
247,Hasaki,JP,35.7333,140.8333,54.28,55,37,6.26,scattered clouds
248,Yichang,CN,30.7144,111.2847,52.14,33,21,2.51,few clouds
249,Cabo San Lucas,MX,22.8909,-109.9124,67.51,61,75,0.0,broken clouds
250,Luwuk,ID,-0.9516,122.7875,86.11,66,100,2.26,overcast clouds
251,Antofagasta,CL,-23.65,-70.4,67.28,80,51,5.7,broken clouds
252,Nanortalik,GL,60.1432,-45.2371,25.18,91,100,5.95,overcast clouds
253,Sovetskiy,RU,61.3614,63.5842,-0.35,97,98,3.11,overcast clouds
254,Te Anau,NZ,-45.4167,167.7167,67.64,38,24,9.46,few clouds
255,Natal,BR,-5.795,-35.2094,75.85,94,20,4.61,few clouds
256,Cayenne,GF,4.9333,-52.3333,73.44,100,40,2.3,scattered clouds
257,Abilene,US,32.4487,-99.7331,48.88,39,0,8.05,clear sky
258,Matagami,CA,49.7502,-77.6328,3.31,92,0,5.75,clear sky
259,Olafsvik,IS,64.8945,-23.7142,33.06,94,100,30.89,snow
260,Launceston,AU,-41.45,147.1667,76.6,38,100,4.61,overcast clouds
261,Pacific Grove,US,36.6177,-121.9166,49.1,76,0,6.91,clear sky
