City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
375,Imbituba,BR,71.1,overcast clouds,-28.24,-48.6703,
377,Oussouye,SN,69.98,scattered clouds,12.485,-16.5469,
379,Jeronimo Monteiro,BR,69.96,overcast clouds,-20.7894,-41.395,
380,Tondi,IN,76.95,overcast clouds,9.7333,79.0167,
381,Salta,AR,74.57,clear sky,-24.7859,-65.4117,
386,Pisco,PE,72.01,light rain,-13.7,-76.2167,
387,Jardim,BR,71.02,broken clouds,-21.4803,-56.1381,
388,Isaka,TZ,62.55,overcast clouds,-3.9,32.9333,
391,Tsaratanana,MG,72.1,moderate rain,-16.7833,47.65,
398,Bodden Town,KY,77.0,few clouds,19.2833,-81.25,
400,Tambura,SS,73.58,broken clouds,5.6,27.4667,
401,Basco,PH,74.44,overcast clouds,20.4487,121.9702,
402,Pouembout,NC,78.8,light rain,-21.1333,164.9,
407,Martapura,ID,80.69,scattered clouds,-3.4167,114.85,
411,Maxixe,MZ,78.73,clear sky,-23.8597,35.3472,
412,Ixtapa,MX,72.63,broken clouds,20.7,-105.2,
413,Bo Rai,TH,86.05,overcast clouds,12.5728,102.5371,
415,Saint-Louis,SN,68.38,clear sky,16.3333,-15.0,
416,Tessalit,ML,63.95,clear sky,20.1986,1.0114,
417,Praya,CV,70.34,few clouds,14.9215,-23.5087,
418,Saint-Leu,RE,77.32,moderate rain,-21.15,55.2833,
419,Opuwo,,66.76,overcast clouds,-18.0607,13.84,
420,Gouyave,GD,75.97,few clouds,12.1646,-61.7296,
421,Rio Gallegos,AR,64.45,broken clouds,-51.6226,-69.2181,
423,Namatanai,PG,84.22,light rain,-3.6667,152.4333,
424,Santa Rosa,PH,84.18,light rain,14.3122,121.1114,
425,Kaeo,NZ,75.22,clear sky,-35.1,173.7833,
426,Lichinga,MZ,62.69,light rain,-13.3128,35.2406,
433,Kulhudhuffushi,MV,80.08,few clouds,6.6221,73.07,
435,Port-Gentil,GA,79.38,overcast clouds,-0.7193,8.7815,
439,Kambove,CD,61.21,light rain,-10.8764,26.5969,
441,Nabire,ID,85.8,overcast clouds,-3.3667,135.4833,
442,Acarau,BR,75.96,broken clouds,-2.8856,-40.12,
443,Bac Lieu,VN,81.34,overcast clouds,9.285,105.7244,
446,Rocha,UY,65.16,clear sky,-34.4833,-54.3333,
447,Taltal,CL,66.96,clear sky,-25.4,-70.4833,
449,Ranau,MY,80.92,overcast clouds,5.9538,116.6641,
450,Comodoro Rivadavia,AR,78.66,clear sky,-45.8667,-67.5,
456,Srikakulam,IN,76.75,few clouds,18.3,83.9,
458,Pimentel,PE,71.89,clear sky,-6.8367,-79.9342,
459,Pontianak,ID,84.18,scattered clouds,-0.0333,109.3333,
462,Paita,PE,70.23,overcast clouds,-5.0892,-81.1144,
463,Geraldton,AU,88.21,few clouds,-28.7667,114.6,
465,Talisay,PH,82.42,broken clouds,10.2447,123.8494,
466,Aripuana,BR,69.04,overcast clouds,-9.1667,-60.6333,
469,Bahia Blanca,AR,80.29,scattered clouds,-38.7196,-62.2724,
470,Trelew,AR,79.07,thunderstorm,-43.249,-65.3051,
473,Nelson Bay,AU,71.65,overcast clouds,-32.7167,152.15,
480,Wahiawa,US,78.76,light rain,21.5028,-158.0236,
482,Sokoto,NG,66.6,clear sky,13.0609,5.239,
483,Gushikawa,JP,65.79,scattered clouds,26.3544,127.8686,
484,Samarinda,ID,83.08,overcast clouds,-0.5,117.15,
487,Port Moresby,PG,89.02,scattered clouds,-9.4431,147.1797,
488,Corrente,BR,70.32,moderate rain,-3.7367,-43.3394,
490,Santo Augusto,BR,72.82,scattered clouds,-27.8508,-53.7772,
493,Japura,ID,76.73,overcast clouds,-0.3167,102.35,
494,Jaciara,BR,70.12,few clouds,-15.9653,-54.9683,
496,Ormara,PK,62.31,clear sky,25.2088,64.6357,
498,Nicoya,CR,73.27,broken clouds,10.1483,-85.452,
502,Hobyo,SO,76.71,scattered clouds,5.3505,48.5268,
504,Porto Santo,PT,61.18,broken clouds,33.072,-16.3415,
505,Alice Springs,AU,88.21,scattered clouds,-23.7,133.8833,
506,Zhuhai,CN,61.86,few clouds,22.2769,113.5678,
512,Samarai,PG,80.1,overcast clouds,-10.6167,150.6667,
514,Muscat,OM,66.22,clear sky,23.6139,58.5922,
517,Nuzvid,IN,72.45,few clouds,16.7833,80.85,
518,Avera,US,62.11,broken clouds,33.194,-82.5271,
521,Fare,PF,81.25,light rain,-16.7,-151.0167,
522,Belmonte,BR,74.41,scattered clouds,-15.8631,-38.8828,
523,Tual,ID,82.15,overcast clouds,-5.6667,132.75,
526,Sola,VU,84.87,overcast clouds,-13.8833,167.55,
527,Muswellbrook,AU,71.78,overcast clouds,-32.2667,150.9,
528,Buluang,PH,78.06,light rain,13.3068,123.3425,
529,Beloha,MG,74.75,broken clouds,-25.1667,45.05,
530,Puerto Colombia,CO,78.89,broken clouds,10.9878,-74.9547,
539,Batouri,CM,68.47,broken clouds,4.4333,14.3667,
541,Mahibadhoo,MV,80.6,clear sky,3.7833,72.9667,
542,Biltine,TD,68.68,clear sky,14.5333,20.9167,
543,Soyo,AO,74.71,light rain,-6.1349,12.3689,
549,Canavieiras,BR,73.06,scattered clouds,-15.675,-38.9472,
550,Zinder,NE,63.07,clear sky,13.8072,8.9881,
556,Prieska,ZA,77.14,few clouds,-29.6641,22.7474,
557,Carutapera,BR,72.0,light rain,-1.195,-46.02,
559,Batie,BF,71.64,scattered clouds,9.8833,-2.9167,
560,Nouadhibou,MR,60.78,clear sky,20.931,-17.0347,
561,Tabuk,PH,74.97,broken clouds,17.4189,121.4443,
562,Vallenar,CL,67.62,clear sky,-28.5708,-70.7581,
569,San Luis,AR,79.84,scattered clouds,-33.295,-66.3356,
570,Noumea,NC,87.01,broken clouds,-22.2763,166.4572,
571,Along,IN,64.74,few clouds,28.1667,94.7667,
579,Atambua,ID,73.4,overcast clouds,-9.1061,124.8925,
582,Sampit,ID,87.8,overcast clouds,-2.5333,112.95,
583,Coihaique,CL,67.95,clear sky,-45.5752,-72.0662,
584,Yamethin,MM,80.55,few clouds,20.4333,96.15,
586,Neiafu,TO,84.88,broken clouds,-18.65,-173.9833,
591,Amparafaravola,MG,67.91,light rain,-17.5833,48.2167,
593,Pajapan,MX,71.42,broken clouds,18.25,-94.7,
594,Barra Do Corda,BR,70.34,overcast clouds,-5.5,-45.25,
595,Nouakchott,MR,60.73,clear sky,18.0858,-15.9785,
596,Kalmunai,LK,79.7,broken clouds,7.4167,81.8167,
600,Inirida,CO,74.35,overcast clouds,3.8653,-67.9239,
601,Katobu,ID,86.13,broken clouds,-4.9408,122.5276,
602,Ahipara,NZ,71.35,clear sky,-35.1667,173.1667,
604,Kabalo,CD,67.15,light rain,-6.05,26.9167,
606,Sorong,ID,82.89,overcast clouds,-0.8833,131.25,
607,Lucea,JM,76.86,broken clouds,18.451,-78.1736,
610,Havelock,US,64.36,broken clouds,34.8791,-76.9013,
614,Dakar,SN,69.93,clear sky,14.6937,-17.4441,
616,Sao Joao Da Barra,BR,74.57,broken clouds,-21.6403,-41.0511,
617,Broken Hill,AU,76.57,overcast clouds,-31.95,141.4333,
618,San Vicente,AR,68.5,few clouds,-26.6167,-54.1333,
625,Koumac,NC,75.6,overcast clouds,-20.5667,164.2833,
628,Ballina,AU,75.02,overcast clouds,-28.8667,153.5667,
629,Kilindoni,TZ,81.5,light rain,-7.9139,39.6668,
630,Gladstone,AU,84.13,scattered clouds,-23.85,151.25,
633,Vilhena,BR,67.26,broken clouds,-12.7406,-60.1458,
634,Diffa,NE,65.79,few clouds,13.3154,12.6113,
636,Marawi,PH,79.57,overcast clouds,7.9986,124.2928,
637,Nkowakowa,ZA,72.03,broken clouds,-23.8878,30.2871,
638,Jambi,ID,76.51,light rain,-1.6,103.6167,
640,Save,BJ,77.56,clear sky,8.0425,2.486,
641,Galveston,US,61.95,clear sky,29.3669,-94.9669,
644,Tucupita,VE,68.95,broken clouds,9.0622,-62.051,
646,Santa Quiteria,BR,71.35,overcast clouds,-4.3319,-40.1567,
647,Bambanglipuro,ID,82.22,broken clouds,-7.95,110.2833,
649,Machinga,MW,67.62,light rain,-15.1685,35.3,
655,Oranjestad,AW,78.91,clear sky,12.524,-70.027,
656,Les Cayes,HT,70.41,clear sky,18.2,-73.75,
657,Arawa,PG,86.67,overcast clouds,-6.2132,155.5367,
658,Calvinia,ZA,67.55,clear sky,-31.4707,19.776,
